Category: All categories

Week,covid conspiracy: (United States)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,0
2020-02-23,1
2020-03-01,5
2020-03-08,22
2020-03-15,82
2020-03-22,61
2020-03-29,82
2020-04-05,100
2020-04-12,65
2020-04-19,49
2020-04-26,44
2020-05-03,84
2020-05-10,38
2020-05-17,34
2020-05-24,22
2020-05-31,12
2020-06-07,15
2020-06-14,18
2020-06-21,24
2020-06-28,28
2020-07-05,33
2020-07-12,51
2020-07-19,36
2020-07-26,35
2020-08-02,21
2020-08-09,19
2020-08-16,13
2020-08-23,9
2020-08-30,14
2020-09-06,15
2020-09-13,13
2020-09-20,9
2020-09-27,32
2020-10-04,13
2020-10-11,11
2020-10-18,11
2020-10-25,12
2020-11-01,15
2020-11-08,15
2020-11-15,29
2020-11-22,19
2020-11-29,18
2020-12-06,30
2020-12-13,22
2020-12-20,20
2020-12-27,19
2021-01-03,22
2021-01-10,20
2021-01-17,15
2021-01-24,16
2021-01-31,12
2021-02-07,13
2021-02-14,10
2021-02-21,6
2021-02-28,9
2021-03-07,12
2021-03-14,15
2021-03-21,9
2021-03-28,15
2021-04-04,17
2021-04-11,17
2021-04-18,15
2021-04-25,23
2021-05-02,17
2021-05-09,16
2021-05-16,13
2021-05-23,15
2021-05-30,12
2021-06-06,14
2021-06-13,14
2021-06-20,9
2021-06-27,9
2021-07-04,8
2021-07-11,11
2021-07-18,14
2021-07-25,25
2021-08-01,30
2021-08-08,26
2021-08-15,29
2021-08-22,25
2021-08-29,15
2021-09-05,14
2021-09-12,24
2021-09-19,8
2021-09-26,13
