Category: All categories

Region,covid conspiracy: (1/1/20 - 9/30/21)
Hawaii,100
South Dakota,72
Colorado,72
North Dakota,67
Oregon,67
Washington,66
Vermont,65
Utah,65
Arizona,63
Rhode Island,60
New Hampshire,59
Ohio,57
Minnesota,57
New Mexico,56
Wyoming,55
Michigan,54
California,53
Wisconsin,53
Pennsylvania,52
Arkansas,52
Connecticut,52
West Virginia,51
Illinois,51
Nevada,51
Nebraska,51
North Carolina,50
Missouri,50
Virginia,50
Indiana,50
Alabama,48
Kansas,46
Tennessee,46
New Jersey,46
Texas,45
Idaho,43
South Carolina,43
Kentucky,43
Florida,42
Massachusetts,41
Georgia,41
Iowa,39
Maryland,38
Oklahoma,38
Louisiana,36
Alaska,35
Maine,35
Mississippi,35
New York,35
District of Columbia,33
Delaware,33
Montana,14
