Category: All categories

Week,Vaccine 5g: (United States)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,6
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,16
2020-03-01,0
2020-03-08,0
2020-03-15,21
2020-03-22,30
2020-03-29,45
2020-04-05,81
2020-04-12,24
2020-04-19,34
2020-04-26,29
2020-05-03,19
2020-05-10,15
2020-05-17,10
2020-05-24,16
2020-05-31,0
2020-06-07,0
2020-06-14,11
2020-06-21,5
2020-06-28,6
2020-07-05,0
2020-07-12,22
2020-07-19,22
2020-07-26,11
2020-08-02,11
2020-08-09,5
2020-08-16,11
2020-08-23,0
2020-08-30,10
2020-09-06,5
2020-09-13,5
2020-09-20,10
2020-09-27,6
2020-10-04,6
2020-10-11,0
2020-10-18,0
2020-10-25,18
2020-11-01,10
2020-11-08,18
2020-11-15,18
2020-11-22,19
2020-11-29,18
2020-12-06,36
2020-12-13,18
2020-12-20,19
2020-12-27,43
2021-01-03,40
2021-01-10,29
2021-01-17,47
2021-01-24,35
2021-01-31,35
2021-02-07,18
2021-02-14,18
2021-02-21,48
2021-02-28,30
2021-03-07,30
2021-03-14,11
2021-03-21,42
2021-03-28,42
2021-04-04,73
2021-04-11,48
2021-04-18,55
2021-04-25,72
2021-05-02,30
2021-05-09,44
2021-05-16,37
2021-05-23,25
2021-05-30,19
2021-06-06,25
2021-06-13,31
2021-06-20,19
2021-06-27,19
2021-07-04,32
2021-07-11,12
2021-07-18,19
2021-07-25,50
2021-08-01,100
2021-08-08,63
2021-08-15,19
2021-08-22,51
2021-08-29,13
2021-09-05,46
2021-09-12,19
2021-09-19,32
2021-09-26,19
