Category: All categories

Region,Vaccine 5g: (1/1/20 - 9/30/21)
Missouri,100
Wisconsin,80
Tennessee,76
Indiana,74
Maryland,73
Washington,71
Ohio,66
Massachusetts,64
California,64
New York,61
Texas,61
North Carolina,61
Florida,55
New Jersey,55
Colorado,54
Virginia,52
Georgia,51
Minnesota,50
Illinois,48
Arizona,48
Pennsylvania,42
Louisiana,29
Michigan,29
Alabama,26
Oregon,13
South Carolina,12
Wyoming,
District of Columbia,
Mississippi,
Kansas,
Hawaii,
West Virginia,
New Hampshire,
Iowa,
Nebraska,
Kentucky,
Delaware,
Oklahoma,
Nevada,
Maine,
Connecticut,
Idaho,
Utah,
New Mexico,
Arkansas,
Alaska,
Montana,
North Dakota,
Rhode Island,
South Dakota,
Vermont,
