Category: All categories

Week,Vaccine: (United States)
2020-01-05,3
2020-01-12,3
2020-01-19,3
2020-01-26,3
2020-02-02,3
2020-02-09,3
2020-02-16,3
2020-02-23,4
2020-03-01,5
2020-03-08,7
2020-03-15,9
2020-03-22,6
2020-03-29,6
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,6
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,8
2020-07-19,7
2020-07-26,7
2020-08-02,6
2020-08-09,8
2020-08-16,6
2020-08-23,5
2020-08-30,7
2020-09-06,6
2020-09-13,6
2020-09-20,6
2020-09-27,6
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,5
2020-11-01,4
2020-11-08,13
2020-11-15,13
2020-11-22,10
2020-11-29,15
2020-12-06,25
2020-12-13,34
2020-12-20,26
2020-12-27,31
2021-01-03,41
2021-01-10,63
2021-01-17,63
2021-01-24,63
2021-01-31,62
2021-02-07,64
2021-02-14,59
2021-02-21,64
2021-02-28,88
2021-03-07,100
2021-03-14,92
2021-03-21,93
2021-03-28,94
2021-04-04,96
2021-04-11,73
2021-04-18,51
2021-04-25,55
2021-05-02,44
2021-05-09,45
2021-05-16,41
2021-05-23,32
2021-05-30,27
2021-06-06,27
2021-06-13,24
2021-06-20,23
2021-06-27,22
2021-07-04,22
2021-07-11,24
2021-07-18,31
2021-07-25,38
2021-08-01,62
2021-08-08,48
2021-08-15,45
2021-08-22,47
2021-08-29,50
2021-09-05,35
2021-09-12,35
2021-09-19,29
2021-09-26,28
